AGID	peptide_target	gene_name	antibody_origin	source	catalog_number	validation_status	gene_id
AGID00339	FN14	TNFRSF12A	Rabbit	CST	4403	Caution	ENSG00000006327.14
AGID02152	FOXM1	FOXM1	Rabbit	CST	20459	Valid	ENSG00000111206.13
AGID00378	FOXO3A	FOXO3	Rabbit	CST	9467	Caution	ENSG00000118689.15
AGID02197	FOXO3A_pS318S321	FOXO3	Rabbit	Biorbyt	orb6051	Caution	ENSG00000118689.15
AGID02167	FRS2-alpha_pY196	FRS2	Rabbit	Invitrogen	PA5-64616	Valid	ENSG00000166225.9
AGID02213	FTO	FTO	Rabbit	Abcam	ab124892	Valid	ENSG00000140718.21
AGID02141	G6PD	G6PD	Rabbit	CST	12263	Valid	ENSG00000160211.19
AGID00117	GAB2	GAB2	Rabbit	CST	3239	Valid	ENSG00000033327.13
AGID00412	GAPDH	GAPDH	Mouse	Invitrogen	AM4300	Caution	ENSG00000111640.15
AGID00086	GATA3	GATA3	Mouse	BD Biosciences	558686	Valid	ENSG00000107485.18
AGID00383	GATA6	GATA6	Rabbit	CST	4253	Caution	ENSG00000141448.11
AGID00289	GCLC	GCLC	Rabbit	Proteintech Group	12601-1-AP	Caution	ENSG00000001084.13
AGID00305	GCLM	GCLM	Rabbit	Abcam	ab124827	Valid	ENSG00000023909.10
AGID00212	GCN5L2	KAT2A	Rabbit	CST	3305	Valid	ENSG00000108773.11
AGID00270	Gli1	GLI1	Rabbit	CST	3538	Caution	ENSG00000111087.10
AGID00263	Gli3	GLI3	Rabbit	Abcam	ab69838	Caution	ENSG00000106571.15
AGID00548	Glucocorticoid-Receptor	NR3C1	Rabbit	CST	3660	Valid	ENSG00000113580.15
AGID00387	Glutamate-D1-2	GLUD1	Rabbit	CST	12793	Valid	ENSG00000148672.9
AGID00262	Glutaminase	GLS	Rabbit	Abcam	ab156876	Caution	ENSG00000115419.13
AGID00319	Granzyme-B	GZMB	Rabbit	CST	4275	Valid	ENSG00000100453.13
AGID00368	GRB7	GRB7	Rabbit	Abcam	ab183737	Valid	ENSG00000141738.14
AGID00396	Grp75	HSPA9	Rabbit	CST	3593	Caution	ENSG00000113013.16
AGID00174	GSK-3B	GSK3B	Rabbit	CST	9315	Caution	ENSG00000082701.17
AGID00502	GSK3_pS9	GSK3B	Rabbit	CST	9336	Valid	ENSG00000082701.17
AGID00033	GSK3ALPHABETA	GSK3A/GSK3B	Mouse	Santa Cruz	sc-7291	Valid	ENSG00000105723.13/ENSG00000082701.17
AGID00034	GSK3ALPHABETA_pS21S9	GSK3A/GSK3B	Rabbit	CST	9331	Valid	ENSG00000105723.13/ENSG00000082701.17
AGID00129	GYS	GYS1	Rabbit	CST	3886	Valid	ENSG00000104812.15
AGID00130	GYS_pS641	GYS1	Rabbit	CST	3891	Valid	ENSG00000104812.15
AGID01354	H2AX_pS139	H2AX	Rabbit	CST	9718	Caution	ENSG00000188486.3
AGID00363	H2AX_pS140	H2AX	Mouse	Pierce Biotechnology/Invitrogen	MA1-2022	Caution	ENSG00000188486.3
AGID00131	HER2	ERBB2	Mouse	Lab Vision/ThermoFisher	MS-325-P1	Valid	ENSG00000141736.14
AGID00142	HER2_pY1248	ERBB2	Rabbit	Millipore	06-229	Valid	ENSG00000141736.14
AGID00110	HER3	ERBB3	Rabbit	Santa Cruz	sc-285	Valid	ENSG00000065361.16
AGID00080	HER3_pY1289	ERBB3	Rabbit	CST	4791	Caution	ENSG00000065361.16
AGID00103	HEREGULIN	NRG1	Rabbit	CST	2573	Valid	ENSG00000157168.20
AGID00271	HES1	HES1	Rabbit	CST	11988	Valid	ENSG00000114315.4
AGID00397	Hexokinase-I	HK1	Rabbit	CST	2024	Caution	ENSG00000156515.24
AGID00442	Hexokinase-II	HK2	Rabbit	CST	2867	Valid	ENSG00000159399.10
AGID00419	HIF1ALPHA	HIF1A	Mouse	BD Biosciences	610958	Caution	ENSG00000100644.17
AGID00205	Histone-H3	H3C1	Rabbit	Abcam	ab1791	Valid	ENSG00000275714.2
AGID00398	Histone-H3_pS10	H3C1	Rabbit	CST	3377	Valid	ENSG00000275714.2
AGID00332	HLA-DQA1	HLA-DQA1	Rabbit	Abcam	ab128959	Valid	ENSG00000196735.13
AGID00333	HMHA1	ARHGAP45	Rabbit	ProteinTech	14832-1-AP	Valid	ENSG00000180448.10
AGID00035	HSP27	HSPB1	Mouse	CST	2402	Caution	ENSG00000106211.10
AGID00036	HSP27_pS82	HSPB1	Rabbit	CST	2401	Valid	ENSG00000106211.10
AGID00320	HSP60	HSPD1	Rabbit	CST	12165	Valid	ENSG00000144381.18
AGID00037	HSP70	HSPA1A	Rabbit	CST	4872	Caution	ENSG00000204389.10
AGID00366	IDO	IDO1	Rabbit	CST	86630	Caution	ENSG00000131203.13
AGID00197	IGF1R_pY1135Y1136	IGF1R/INSR	Rabbit	CST	3024	Valid	ENSG00000140443.15/ENSG00000171105.14
AGID00038	IGFBP2	IGFBP2	Rabbit	CST	3922	Valid	ENSG00000115457.10
AGID00090	IGFBP3	IGFBP3	Mouse	BD Biosciences	611504	Valid	ENSG00000146674.15
AGID00039	IGFRb	IGF1R	Rabbit	CST	3027	Caution	ENSG00000140443.15
AGID00336	IL-6	IL6	Rabbit	CST	12153	Caution	ENSG00000136244.12
AGID02221	IMP3	IGF2BP3	Rabbit	CST	57145	Caution	ENSG00000136231.14
AGID02153	INPP4B	INPP4B	Rabbit	CST	14543	Caution	ENSG00000109452.12
AGID00272	IR-b	INSR	Rabbit	CST	3025	Caution	ENSG00000171105.14
AGID00519	IRF-3	IRF3	Rabbit	CST	4302	Valid	ENSG00000126456.16
AGID00520	IRF-3_pS396	IRF3	Rabbit	CST	4947	Caution	ENSG00000126456.16
AGID00223	IRF1	IRF1	Rabbit	Santa Cruz	sc-497	Caution	ENSG00000125347.14
AGID00092	IRS1	IRS1	Rabbit	Millipore	06-248	Valid	ENSG00000169047.5
AGID00040	IRS2	IRS2	Rabbit	CST	4502	Caution	ENSG00000185950.9
AGID00250	JAB1	COPS5	Mouse	Santa Cruz	sc-13157	Caution	ENSG00000121022.14
AGID00256	Jagged1	JAG1	Rabbit	Abcam	ab109536	Valid	ENSG00000101384.12
AGID00177	JAK2	JAK2	Rabbit	CST	3230	Valid	ENSG00000096968.14
AGID00758	JNK_pT183Y185	MAPK8	Rabbit	CST	4671	Caution	ENSG00000107643.16
AGID02136	JNK2	MAPK9	Rabbit	Invitrogen	PA5-28262	Valid	ENSG00000050748.18
AGID00307	KAP1	TRIM28	Rabbit	Abcam	ab10484	Valid	ENSG00000130726.12
AGID00528	KU80	XRCC5	Rabbit	CST	2180	Caution	ENSG00000079246.16
AGID00375	LAD1	LAD1	Rabbit	Atlas/Sigma-Aldrich	HPA028732	Valid	ENSG00000159166.15
AGID00290	Lasu1	HUWE1	Rabbit	Bethyl	IHC-00439	Valid	ENSG00000086758.16
AGID00279	LC3A-B	MAP1LC3A/MAP1LC3B	Rabbit	CST	4108	Caution	ENSG00000101460.13/ENSG00000140941.14
AGID00042	LCK	LCK	Rabbit	CST	2752	Valid	ENSG00000182866.17
AGID00119	LDHA	LDHA	Rabbit	CST	3582	Caution	ENSG00000134333.14
AGID00533	LDHB	LDHB	Mouse	Abcam	ab85319	Valid	ENSG00000111716.14
AGID00529	LKB1	STK11	Rabbit	CST	3050	Under Evaluation	ENSG00000118046.16
AGID00244	LRP6_pS1490	LRP6	Rabbit	CST	2568	Valid	ENSG00000070018.9
AGID00439	Lyn	LYN	Rabbit	CST	2796	Valid	ENSG00000254087.8
AGID02154	MAPK_pT202Y204	MAPK1/MAPK3	Rabbit	CST	4370	Caution	ENSG00000100030.15/ENSG00000102882.12
AGID00198	Mcl-1	MCL1	Rabbit	CST	5453	Valid	ENSG00000143384.14
AGID00288	MCT4	SLC16A3	Rabbit	Millipore	AB3314P	Valid	ENSG00000141526.17
AGID00175	MDM2_pS166	MDM2	Rabbit	CST	3521	Valid	ENSG00000135679.25
AGID00044	MEK1	MAP2K1	Rabbit	Epitomics/Abcam	1235-1/ab32576	Valid	ENSG00000169032.10
AGID00143	MEK1_pS217S221	MAP2K1/MAP2K2	Rabbit	CST	9154	Valid	ENSG00000169032.10/ENSG00000126934.14
AGID00201	MEK2	MAP2K2	Rabbit	CST	9125	Valid	ENSG00000126934.14
AGID00361	MelanA	MLANA	Rabbit	Abcam	ab51061	Caution	ENSG00000120215.10
AGID00362	Melanoma-gp100	PMEL	Rabbit	Abcam	ab137078	Caution	ENSG00000185664.14
